Type,Brand,Product,Kosher,Misc,Src
Beer,Coronita,Extra,OK*,,1
Beer,Dock Street Brewing Company,Assorted Varieties,0,,1
Beer,Dogfish Head Craft Brewery,Assorted Varieties,0,,1
Beer,Flying Bison,IPA,KCOR,,1
Beer,Flying Bison,Rusty Chain,KCOR,,1
Beer,Flying Dog Brewery,Assorted Varieties,0,,1
Beer,Flying Fish Brewing Co.,Assorted Varieties,0,,1
Beer,Fordham Brewing Company,Assorted Varieties,0,,1
Beer,George Killian's,Irish Red Lager,OU*,,1
Beer,Goose Island Beer Co.,312 Urban Pale Ale,,,1
Beer,Goose Island Beer Co.,312 Urban Wheat Ale,,,1
Beer,Goose Island Beer Co.,Endless IPA,,,1
Beer,Goose Island Beer Co.,Gillian,0,,1
Beer,Goose Island Beer Co.,Green Line Pale Ale,,,1
Beer,Goose Island Beer Co.,Halia,0,,1
Beer,Goose Island Beer Co.,Harvest Ale,,,1
Beer,Goose Island Beer Co.,Honker's Ale,,,1
Beer,Goose Island Beer Co.,India Pale Ale,,,1
Beer,Goose Island Beer Co.,Juliet,0,,1
Beer,Goose Island Beer Co.,Lolita,0,,1
Beer,Goose Island Beer Co.,Madame Rose,0,,1
Beer,Goose Island Beer Co.,Matilda,0,,1
Beer,Goose Island Beer Co.,Mild Winter,,,1
Beer,Goose Island Beer Co.,Nut Brown Ale,,,1
Beer,Goose Island Beer Co.,Oktoberfest,,,1
Beer,Goose Island Beer Co.,Sofie,0,,1
Beer,Goose Island Beer Co.,Sofie Paradisi,0,,1
Beer,Goose Island Beer Co.,Summertime,,,1
Beer,Goose Island Beer Co.,Ten Hills Pale Ale,,,1
Beer,Gordon Biersch Brewing,Bavarian Hefeweizen,KCOR,,1
Beer,Gordon Biersch Brewing,Blonde Bock,KCOR,,1
Beer,Gordon Biersch Brewing,Bohemian Lager,KCOR,,1
Beer,Gordon Biersch Brewing,Czech Style Pilsner,KCOR,,1
Beer,Gordon Biersch Brewing,Dunkelweizen,KCOR,,1
Beer,Gordon Biersch Brewing,Dunkelweizen,KCOR,,1
Beer,Gordon Biersch Brewing,Fest Bier,KCOR,,1
Beer,Gordon Biersch Brewing,Hefeweizen,KCOR,,1
Beer,Gordon Biersch Brewing,Hofbrau Bock,KCOR,,1
Beer,Gordon Biersch Brewing,Hopfest,KCOR,,1
Beer,Gordon Biersch Brewing,Marzen,KCOR,,1
Beer,Gordon Biersch Brewing,Oktoberfest,KCOR,,1
Beer,Gordon Biersch Brewing,Sommer Brau,KCOR,,1
Beer,Gordon Biersch Brewing,Summer Brew,KCOR,,1
